,Nome dependencia Administrativa,Codigo Rede,Diretoria de ensino,Categoria,Tipo Escola,CodigoEscola,Codigo MEC,Nome Escola,Codigo Municipio,Municipio,Bairro,Codigo Distrito,Distrito,CEP,Complemento,Endereco,Numero,Ddd,Fone1,Fone2,Email,Zona
5,PRIVADA,20901,ADAMANTINA,1,0,155226,35155226,13 DE JUNHO ESCOLA,408,JUNQUEIROPOLIS,CENTRO,1,JUNQUEIROPOLIS,17890000,PRACA,AVENIDA JUNQUEIRA,475,18,38412760,38421312,ESCOLA.OBJETIVO@HOTMAIL.COM,1
6,PRIVADA,20901,ADAMANTINA,1,40,406776,35406776,ADAMANTINA CENTRO DE RECREACAO INFANTIL DE,150,ADAMANTINA,VILA CICMA,1,ADAMANTINA,17800000,RUA,AL. BRÁULIO MOLINA FRIAS,120,18,35211614,35225379,,1
7,PRIVADA,20901,ADAMANTINA,1,0,197221,35197221,ADAMANTINENSE COLEGIO,150,ADAMANTINA,CENTRO,1,ADAMANTINA,17800000,1372,ALAMEDA  FERNAO DIAS ,1370,18,35212934,,OBJETADT@TERRA.COM.BR,1
8,PRIVADA,20901,ADAMANTINA,1,40,801689,35801689,ALICE BERNARDES SILVA CANTINHO E RECANTO DA CRIANCA,494,OSVALDO CRUZ,VILA CALIFORNIA,1,OSVALDO CRUZ,17700000,RUA,RUA AUGUSTA,189,18,35284733,,CANTINHO@WEBCRUZ.COM.BR,1
9,PRIVADA,20901,ADAMANTINA,1,40,166819,35166819,ANA MARIA JAVOUWEY CENTRO DE ORIENTACAO FAMILIAR CRECHE,422,LUCELIA,VILA DALVA,1,LUCELIA,17780000,RUA,RUA DORIVAL DE BARROS,280,18,35511886,,CRECHEANAMARIA1@HOTMAIL.COM,1
10,PRIVADA,20901,ADAMANTINA,1,1,145944,35145944,APAE DE DRACENA,292,DRACENA,JARDIM ALVORADA,1,DRACENA,17900000,RUA,AVENIDA RUI BARBOSA,697,18,38213253,38213316,APAEDRACENA2009@HOTMAIL.COM,1
11,PRIVADA,20901,ADAMANTINA,1,1,146353,35146353,APAE DE LUCELIA,422,LUCELIA,CENTRO,1,LUCELIA,17780000,RUA,RUA ANTONIO RIBEIRO PINTO,933,18,35511779,,APAE.LUCELIA@ITELEFONICA.COM.BR,1
12,PRIVADA,20901,ADAMANTINA,1,0,305595,35305595,APOLO COLEGIO,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,RUA,AVENIDA PRESIDENTE KENNEDY,75,18,35285907,,COLEGIO.APOLO@HOTMAIL.COM,1
13,PRIVADA,20901,ADAMANTINA,1,0,301735,35301735,ARCO IRIS DE OSVALDO CRUZ COLEGIO,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,RUA,AVENIDA JOSE SIQUEIRA,251,18,35286843,,,1
14,PRIVADA,20901,ADAMANTINA,1,40,167526,35167526,ASSOC PROT MAT INFANTIL E ADOLESCENCIA DRACENA,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,RUA DUQUE DE CAXIAS,925,18,38211128,,APMIADCRECHE@GMAIL.COM,1
15,PRIVADA,20901,ADAMANTINA,1,0,186284,35186284,BELA INFANCIA COLEGIO,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,RUA CHILE,90,18,38214513,,BELLAINFANCIA@IG.COM.BR,1
